type	time	latitude	longitude	altitude (m)	temperature	name	desc
T	2016-02-11 03:13:58	47.718225801	-122.247319892	126.0	26.0	Kirkland Hiking	
T	2016-02-11 03:13:59	47.718212390	-122.247314863	126.0	26.0		
T	2016-02-11 03:14:00	47.718218509	-122.247303128	126.0	26.0		
T	2016-02-11 03:14:01	47.718219012	-122.247301536	126.0	26.0		
T	2016-02-11 03:14:02	47.718225718	-122.247303715	126.0	26.0		
T	2016-02-11 03:14:03	47.718217922	-122.247297848	126.0	26.0		
T	2016-02-11 03:14:04	47.718211049	-122.247286951	126.0	26.0		
T	2016-02-11 03:14:05	47.718206607	-122.247284772	125.8	26.0		
T	2016-02-11 03:14:06	47.718198644	-122.247284772	125.8	26.0		
T	2016-02-11 03:14:07	47.718189675	-122.247286281	125.8	26.0		
T	2016-02-11 03:14:08	47.718183724	-122.247289633	125.8	26.0		
T	2016-02-11 03:14:09	47.718177103	-122.247293321	126.0	26.0		
T	2016-02-11 03:14:10	47.718170732	-122.247296339	126.0	26.0		
T	2016-02-11 03:14:11	47.718166122	-122.247303883	126.0	26.0		
T	2016-02-11 03:14:12	47.718162937	-122.247312851	126.0	26.0		
T	2016-02-11 03:14:13	47.718156399	-122.247317797	126.0	26.0		
T	2016-02-11 03:14:14	47.718152544	-122.247320898	126.0	26.0		
T	2016-02-11 03:14:15	47.718150448	-122.247323915	126.0	26.0		
T	2016-02-11 03:14:16	47.718146592	-122.247322993	126.0	26.0		
T	2016-02-11 03:14:17	47.718143491	-122.247320730	126.0	26.0		
T	2016-02-11 03:14:18	47.718138127	-122.247319305	125.8	26.0		
T	2016-02-11 03:14:19	47.718133768	-122.247316204	125.8	26.0		
T	2016-02-11 03:14:20	47.718132259	-122.247315450	125.8	26.0		
T	2016-02-11 03:14:21	47.718131505	-122.247314863	125.8	26.0		
T	2016-02-11 03:14:22	47.718133349	-122.247314109	125.8	26.0		
T	2016-02-11 03:14:23	47.718133349	-122.247313270	125.8	26.0		
T	2016-02-11 03:14:24	47.718133098	-122.247311594	125.8	26.0		
T	2016-02-11 03:14:25	47.718133349	-122.247309415	125.8	26.0		
T	2016-02-11 03:14:26	47.718131840	-122.247306649	125.8	26.0		
T	2016-02-11 03:14:27	47.718130164	-122.247303799	125.8	26.0		
T	2016-02-11 03:14:28	47.718127482	-122.247298015	126.0	26.0		
T	2016-02-11 03:14:29	47.718122955	-122.247294076	126.0	26.0		
T	2016-02-11 03:14:30	47.718120189	-122.247292232	126.0	26.0		
T	2016-02-11 03:14:31	47.718116585	-122.247290639	126.0	26.0		
T	2016-02-11 03:14:32	47.718114741	-122.247287454	126.0	26.0		
T	2016-02-11 03:14:33	47.718111388	-122.247282844	126.0	26.0		
T	2016-02-11 03:14:34	47.718108958	-122.247278988	126.0	26.0		
T	2016-02-11 03:14:35	47.718106862	-122.247277228	126.0	26.0		
T	2016-02-11 03:14:36	47.718107449	-122.247275971	126.0	26.0		
T	2016-02-11 03:14:37	47.718107030	-122.247271864	126.0	26.0		
T	2016-02-11 03:14:38	47.718107533	-122.247269349	126.0	26.0		
T	2016-02-11 03:14:39	47.718107114	-122.247265661	126.0	26.0		
T	2016-02-11 03:14:40	47.718102923	-122.247261638	126.0	26.0		
T	2016-02-11 03:14:41	47.718098816	-122.247257866	126.0	26.0		
T	2016-02-11 03:14:42	47.718096720	-122.247254010	126.0	26.0		
T	2016-02-11 03:14:43	47.718092110	-122.247248227	126.0	26.0		
T	2016-02-11 03:14:44	47.718086746	-122.247242108	126.0	26.0		
T	2016-02-11 03:14:45	47.718082471	-122.247236492	126.2	26.0		
T	2016-02-11 03:14:46	47.718080962	-122.247232469	126.2	26.0		
T	2016-02-11 03:14:47	47.718080878	-122.247228278	126.2	26.0		
T	2016-02-11 03:14:48	47.718077274	-122.247224087	126.2	26.0		
T	2016-02-11 03:14:49	47.718075514	-122.247225009	126.2	26.0		
T	2016-02-11 03:14:50	47.718073921	-122.247227188	126.2	26.0		
T	2016-02-11 03:14:51	47.718074005	-122.247231714	126.2	26.0		
T	2016-02-11 03:14:52	47.718074508	-122.247237330	126.2	26.0		
T	2016-02-11 03:14:53	47.718075346	-122.247240851	126.2	26.0		
T	2016-02-11 03:14:54	47.718078950	-122.247244036	126.2	26.0		
T	2016-02-11 03:14:55	47.718080794	-122.247247389	126.2	26.0		
T	2016-02-11 03:14:56	47.718084315	-122.247252921	126.2	26.0		
T	2016-02-11 03:14:57	47.718087249	-122.247256860	126.2	26.0		
T	2016-02-11 03:14:58	47.718088003	-122.247261051	126.2	26.0		
T	2016-02-11 03:14:59	47.718087751	-122.247264152	126.2	26.0		
T	2016-02-11 03:15:00	47.718087584	-122.247266164	126.2	26.0		
T	2016-02-11 03:15:01	47.718086829	-122.247268343	126.2	26.0		
T	2016-02-11 03:15:02	47.718085907	-122.247269433	126.2	26.0		
T	2016-02-11 03:15:03	47.718081884	-122.247267505	126.2	26.0		
T	2016-02-11 03:15:04	47.718076939	-122.247265745	126.2	26.0		
T	2016-02-11 03:15:05	47.718073335	-122.247266080	126.2	26.0		
T	2016-02-11 03:15:06	47.718069395	-122.247266918	126.4	26.0		
T	2016-02-11 03:15:07	47.718064785	-122.247264069	126.4	26.0		
T	2016-02-11 03:15:08	47.718063025	-122.247261135	126.4	26.0		
T	2016-02-11 03:15:09	47.718061348	-122.247258956	126.4	26.0		
T	2016-02-11 03:15:10	47.718058834	-122.247256776	126.4	26.0		
T	2016-02-11 03:15:11	47.718056990	-122.247255016	126.4	26.0		
T	2016-02-11 03:15:12	47.718056571	-122.247250574	126.4	26.0		
T	2016-02-11 03:15:13	47.718055816	-122.247248311	126.4	26.0		
T	2016-02-11 03:15:14	47.718055230	-122.247247221	126.4	26.0		
T	2016-02-11 03:15:15	47.718054056	-122.247242108	126.4	26.0		
T	2016-02-11 03:15:16	47.718051206	-122.247237414	126.4	26.0		
T	2016-02-11 03:15:17	47.718052045	-122.247234145	126.6	26.0		
T	2016-02-11 03:15:18	47.718052631	-122.247232888	126.6	26.0		
T	2016-02-11 03:15:19	47.718055062	-122.247232134	126.6	26.0		
T	2016-02-11 03:15:20	47.718061181	-122.247229032	126.6	26.0		
T	2016-02-11 03:15:21	47.718064617	-122.247225009	126.6	26.0		
T	2016-02-11 03:15:22	47.718068054	-122.247222075	126.6	26.0		
T	2016-02-11 03:15:23	47.718071155	-122.247219225	126.6	26.0		
T	2016-02-11 03:15:24	47.718075598	-122.247215286	126.6	26.0		
T	2016-02-11 03:15:25	47.718079621	-122.247206233	126.6	26.0		
T	2016-02-11 03:15:26	47.718084902	-122.247203551	126.6	26.0		
T	2016-02-11 03:15:27	47.718091272	-122.247198941	126.6	26.0		
T	2016-02-11 03:15:28	47.718099067	-122.247190308	126.6	26.0		
T	2016-02-11 03:15:29	47.718100827	-122.247185865	126.6	26.0		
T	2016-02-11 03:15:30	47.718101079	-122.247184943	126.6	26.0		
T	2016-02-11 03:15:31	47.718103006	-122.247180669	126.6	26.0		
T	2016-02-11 03:15:32	47.718105186	-122.247177232	126.6	26.0		
T	2016-02-11 03:15:33	47.718100240	-122.247178238	126.6	26.0		
T	2016-02-11 03:15:34	47.718102336	-122.247177819	126.6	26.0		
T	2016-02-11 03:15:35	47.718104264	-122.247180585	126.6	26.0		
T	2016-02-11 03:15:36	47.718106778	-122.247182429	126.6	26.0		
T	2016-02-11 03:15:37	47.718109880	-122.247183099	126.6	26.0		
T	2016-02-11 03:15:38	47.718112227	-122.247186033	126.6	26.0		
T	2016-02-11 03:15:39	47.718114406	-122.247189721	126.6	26.0		
T	2016-02-11 03:15:40	47.718117842	-122.247188631	126.6	26.0		
T	2016-02-11 03:15:41	47.718121363	-122.247188631	126.6	26.0		
T	2016-02-11 03:15:42	47.718110969	-122.247196930	126.6	26.0		
T	2016-02-11 03:15:43	47.718114071	-122.247194666	126.4	26.0		
T	2016-02-11 03:15:44	47.718118764	-122.247191146	126.4	26.0		
T	2016-02-11 03:15:45	47.718121028	-122.247188548	126.4	26.0		
T	2016-02-11 03:15:46	47.718124297	-122.247184860	126.4	26.0		
T	2016-02-11 03:15:47	47.718127063	-122.247184524	126.4	26.0		
T	2016-02-11 03:15:48	47.718130667	-122.247184357	126.4	26.0		
T	2016-02-11 03:15:49	47.718129996	-122.247186787	126.6	26.0		
T	2016-02-11 03:15:50	47.718131002	-122.247186871	126.6	26.0		
T	2016-02-11 03:15:51	47.718132762	-122.247185195	126.6	26.0		
T	2016-02-11 03:15:52	47.718132176	-122.247185949	126.6	26.0		
T	2016-02-11 03:15:53	47.718134020	-122.247187207	126.6	26.0		
T	2016-02-11 03:15:54	47.718134690	-122.247185195	126.6	26.0		
T	2016-02-11 03:15:55	47.718133349	-122.247183686	126.6	26.0		
T	2016-02-11 03:15:56	47.718134103	-122.247184273	126.4	26.0		
T	2016-02-11 03:15:57	47.718136618	-122.247183016	126.4	26.0		
T	2016-02-11 03:15:58	47.718137875	-122.247182932	126.4	26.0		
T	2016-02-11 03:15:59	47.718140557	-122.247178908	126.4	26.0		
T	2016-02-11 03:16:00	47.718144665	-122.247177484	126.4	26.0		
T	2016-02-11 03:16:01	47.718143826	-122.247179663	126.4	26.0		
T	2016-02-11 03:16:02	47.718147682	-122.247178657	126.4	26.0		
T	2016-02-11 03:16:03	47.718145754	-122.247175472	126.4	26.0		
T	2016-02-11 03:16:04	47.718134858	-122.247179244	126.6	26.0		
